Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates (Headcount)
2009/10,City University of Hong Kong,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2009/10,City University of Hong Kong,Research postgraduate,FT employment,Business Professionals,2
2009/10,City University of Hong Kong,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",2
2009/10,City University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,1
2009/10,City University of Hong Kong,Research postgraduate,FT employment,Engineers,3
2009/10,City University of Hong Kong,Research postgraduate,FT employment,Managers,1
2009/10,City University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,3
2009/10,City University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,1
2009/10,City University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,15
2009/10,City University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,2
2009/10,City University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,18
2009/10,City University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,8
2009/10,City University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,5
2009/10,City University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,1
2009/10,City University of Hong Kong,Sub-degree,FT employment,Accountants and Auditors,1
2009/10,City University of Hong Kong,Sub-degree,FT employment,Architects and Surveyors,97
2009/10,City University of Hong Kong,Sub-degree,FT employment,Artists,1
2009/10,City University of Hong Kong,Sub-degree,FT employment,Business Professionals,6
2009/10,City University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,4
2009/10,City University of Hong Kong,Sub-degree,FT employment,"Economists, Statisticians and Mathematicians",1
2009/10,City University of Hong Kong,Sub-degree,FT employment,Engineering Technicians,12
2009/10,City University of Hong Kong,Sub-degree,FT employment,Engineers,15
2009/10,City University of Hong Kong,Sub-degree,FT employment,Other Professionals and Technical Workers,25
2009/10,City University of Hong Kong,Sub-degree,FT employment,Production and Related Workers,2
2009/10,City University of Hong Kong,Sub-degree,FT employment,Religious Workers,1
2009/10,City University of Hong Kong,Sub-degree,FT employment,System Analysts and Computer Programmers,1
2009/10,City University of Hong Kong,Sub-degree,FT employment,Workers not reporting any occupation,2
2009/10,City University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,162
2009/10,City University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,1
2009/10,City University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,12
2009/10,City University of Hong Kong,Sub-degree,Unemployed,Not in Full-time Employment,3
2009/10,City University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,26
2009/10,City University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2009/10,City University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,1
2009/10,City University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,1
2009/10,City University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,152
2009/10,City University of Hong Kong,Undergraduate,FT employment,Agriculture and Fishery Workers,2
2009/10,City University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,3
2009/10,City University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,40
2009/10,City University of Hong Kong,Undergraduate,FT employment,Artists,38
2009/10,City University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",69
