Date,Festive Period,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
4/4/2019,D,Airport,Arrival,29331,15048,32239,76618
4/4/2019,D,Airport,Departure,48963,11905,21276,82144
4/4/2019,D,Express Rail Link West Kowloon,Arrival,7063,17165,1557,25785
4/4/2019,D,Express Rail Link West Kowloon,Departure,20618,9134,873,30625
4/4/2019,D,Hung Hom,Arrival,1871,1123,402,3396
4/4/2019,D,Hung Hom,Departure,4581,920,318,5819
4/4/2019,D,Lo Wu,Arrival,75438,22606,1957,100001
4/4/2019,D,Lo Wu,Departure,158537,24415,1933,184885
4/4/2019,D,Lok Ma Chau Spur Line,Arrival,45863,21225,894,67982
4/4/2019,D,Lok Ma Chau Spur Line,Departure,64735,19131,655,84521
4/4/2019,D,Hong Kong-Zhuhai-Macao Bridge,Arrival,10268,7215,3396,20879
4/4/2019,D,Hong Kong-Zhuhai-Macao Bridge,Departure,23082,9213,3886,36181
4/4/2019,D,Lok Ma Chau,Arrival,24220,9707,1557,35484
4/4/2019,D,Lok Ma Chau,Departure,32913,6883,873,40669
4/4/2019,D,Man Kam To,Arrival,3538,1601,42,5181
4/4/2019,D,Man Kam To,Departure,4715,1341,57,6113
4/4/2019,D,Sha Tau Kok,Arrival,3035,873,214,4122
4/4/2019,D,Sha Tau Kok,Departure,5414,784,116,6314
4/4/2019,D,Shenzhen Bay,Arrival,28058,18747,2348,49153
4/4/2019,D,Shenzhen Bay,Departure,58317,18170,1523,78010
4/4/2019,D,China Ferry Terminal,Arrival,2617,1448,1621,5686
4/4/2019,D,China Ferry Terminal,Departure,6263,1742,1534,9539
4/4/2019,D,Harbour Control,Arrival,1,0,156,157
4/4/2019,D,Harbour Control,Departure,2,0,7,9
4/4/2019,D,Kai Tak Cruise Terminal,Arrival,622,173,28,823
4/4/2019,D,Kai Tak Cruise Terminal,Departure,578,135,60,773
4/4/2019,D,Macau Ferry Terminal,Arrival,9137,3465,4667,17269
4/4/2019,D,Macau Ferry Terminal,Departure,12921,1413,3968,18302
4/4/2019,D,Tuen Mun Ferry Terminal,Arrival,579,11,32,622
4/4/2019,D,Tuen Mun Ferry Terminal,Departure,882,19,19,920
5/4/2019,D,Airport,Arrival,26473,15022,28019,69514
5/4/2019,D,Airport,Departure,36156,10175,21923,68254
5/4/2019,D,Express Rail Link West Kowloon,Arrival,8611,39301,2005,49917
5/4/2019,D,Express Rail Link West Kowloon,Departure,19026,20803,1028,40857
5/4/2019,D,Hung Hom,Arrival,2820,2406,513,5739
5/4/2019,D,Hung Hom,Departure,5245,1205,341,6791
5/4/2019,D,Lo Wu,Arrival,116763,48377,2332,167472
